Date,Temperature,W_speed,W_direction,Humidity,Tianjin,Weihai,Seoul
2015-04-20,12.2,3.2,2,75.3,2,2,1
2015-04-21,14,2.9,12,46,2,2,1
2015-04-22,14.2,3,12,47,2,2,2
2015-04-23,14.5,3.5,10,41.1,2,2,2
2015-04-24,15.7,3.2,12,38.3,2,3,2
2015-04-25,15.9,2.7,12,31.3,3,2,2
2015-04-26,17.3,3.3,2,37.6,2,2,1
2015-04-27,18.5,2.8,11,39.3,2,2,2
2015-04-28,20.3,2.1,3,38.6,2,2,1
2015-04-29,17,2.9,3,77,2,2,1
2015-04-30,21.2,2.2,3,56.6,3,2,1
2015-05-01,21,2.5,12,58.8,2,1,1
2015-05-02,20.7,2.1,11,64.4,2,1,1
2015-05-03,18.3,2.1,2,90.4,2,2,1
2015-05-04,16.1,4.2,12,45.9,2,2,2
2015-05-05,14.2,3.4,11,37.9,2,2,1
2015-05-06,15.4,2.4,10,36.3,3,2,1
2015-05-07,16.5,2.6,2,35.6,2,2,1
2015-05-08,16.7,2.5,11,64.3,2,2,2
2015-05-09,17.6,3,12,55,1,2,1
2015-05-10,19.1,2.3,12,39.6,1,2,1
2015-05-11,18.4,3,4,62.1,1,1,1
2015-05-12,13.3,6.4,10,75.9,2,2,1
2015-05-13,17.4,5.3,10,56.9,2,2,2
2015-05-14,20.4,3.3,10,63.8,2,2,2
2015-05-15,19.1,2.7,12,71,2,2,2
2015-05-16,18,3,11,41.3,2,2,2
2015-05-17,18.6,2.2,13,40.4,2,2,2
2015-05-18,17.7,3.2,2,53.9,2,2,1
2015-05-19,14.8,3.6,10,88.9,2,3,1
2015-05-20,16.3,3.1,12,60,1,2,1
2015-05-21,18.7,3.7,10,50.1,2,2,1
2015-05-22,20,2.9,12,45.3,2,2,2
2015-05-23,20.6,2.5,11,38.5,2,1,1
2015-05-24,21,2.4,12,37.3,2,2,1
2015-05-25,20.8,2.7,11,53.1,2,2,1
2015-05-26,21.5,2.7,12,48.9,2,2,1
2015-05-27,23.2,2,12,32.9,2,1,1
2015-05-28,24.3,2.2,12,27.1,2,2,1
2015-05-29,23.8,2.5,12,36.8,2,2,1
2015-05-30,19.8,2.9,12,71,2,1,1
